Major,SchoolWorkHours,Terms,CreditHours,Distance,Roommates,Job,SchoolMaterialsDollars,Salary,Activity,Height,CatsOrDogs,Email,TextMessages,Phone,Gaming,GamingHours,Profile,SocialTime,SubjectPreferred,International,States
Computer Science,4,4,15,0.5,3,4,100,50000,15,67,Cat,17,0,Android,Console,5,TRUE,45,Math,TRUE,6
Mechanical Engineering,22.800925925925927,6,14,2.5,2,12,250,85000,120,69,Dog,21,7,iOS,Computer,0,TRUE,84,Math,TRUE,12
Industrial Engineering,50,1,16,297.1946012269939,6,5,200,60000,90,75,Dog,11,6,iOS,None (I don't play video games),0,FALSE,0,Math,TRUE,6
Mechanical Engineering,24,4,14,0.3,3,1,250,55000,15,67,Dog,9,15,iOS,Mobile Device,2,TRUE,180,Math,TRUE,9
Computer Science,25,9,15,2,2,3,247.4047619047619,45000,0,70,Cat,30,10,iOS,Computer,12,TRUE,40,Writing,TRUE,28
Computer Science,40,4,20,0.7,2,5,200,65000,53.47819444444445,69,Cat,10,40,iOS,Console,2,TRUE,120,Math,TRUE,7
Computer Science,40,2,14,42.6,1,1,50,60000,0,71,Cat,12,50,iOS,Computer,10,TRUE,30,Math,TRUE,7
Mechanical Engineering,35,8,14,0.4,5,3,600,65000,60,72,Dog,12,45,iOS,Console,3.5,TRUE,180,Math,TRUE,9
Civil or CEM,31,4,15,85.8,3,1,250,55000,90,75,Dog,3,1,iOS,Computer,8,TRUE,192,Math,TRUE,17
Civil or CEM,17,7,16,297.1946012269939,1,4,100,70000,60,70,Dog,31,3,iOS,Console,3,TRUE,240,Math,TRUE,7
Computer Science,21,12,14,0.1,1,4,200,60000,45,70,Dog,24,100,iOS,Console,4,TRUE,90,Math,TRUE,18
Computer Science,21,4,15,297.1946012269939,3,1,100,70000,0,74,Cat,11,20,Android,Computer,22,TRUE,30,Math,TRUE,3
Computer Science,2,7,16,0.1,2,4,150,70000,20,72,Cat,18,10,iOS,Computer,8,TRUE,20,Math,TRUE,20
Mechanical Engineering,50,7,14,1,4,3,55,60000,75,75,Dog,26,53,Android,Console,12.5,TRUE,90,Math,TRUE,13
Mechanical Engineering,16,7,14,928,3,4,75,57500,90,71,Dog,14,20,iOS,None (I don't play video games),0,TRUE,120,Math,TRUE,7
Mechanical Engineering,24,4,16,87.4,4,3,250,50000,60,72,Dog,32,25,iOS,Console,10,TRUE,30,Math,TRUE,18
Computer Science,30,6,8,0.1,0,5,50,90000,20,62,Dog,2,75,Android,Computer,4,TRUE,36,Math,TRUE,6
Electrical Engineering,40,5,14,2.2,1,4,200,72000,45,76,Cat,10,4,Android,None (I don't play video games),1,TRUE,60,Math,TRUE,27
Mechanical Engineering,40,4,17,1.5,2,4,300,37296,2,68,Dog,31,18,iOS,Console,0,TRUE,360,Math,TRUE,12
Mechanical Engineering,24,15,15,297.1946012269939,2,0,525,64308.403755868545,60,68,Cat,5,3,iOS,Console,3,TRUE,180,Math,FALSE,6
Mechanical Engineering,19,11,14,1.5,4,1,40,47000,0,69,Dog,20,47,Android,Computer,17,TRUE,60,Math,FALSE,3
Civil or CEM,28,4,18,0.5,7,4,450,40000,30,71,Dog,21,25,iOS,None (I don't play video games),0,TRUE,90,Math,TRUE,14
Computer Science,15,4,14,0.2,3,0,200,100000,20,68,Dog,11,35,iOS,Computer,25,TRUE,40,Writing,TRUE,15
Mechanical Engineering,25,5,16,297.1946012269939,2,4,300,55000,30,70,Dog,15,3,Android,Console,10,TRUE,120,Math,TRUE,20
Computer Science,20,8,15,2,4,0,50,36000,90,72,Cat,11.778801843317972,0,iOS,Computer,0,TRUE,120,Math,FALSE,6
Other,35,12,17,3,0,10,500,65000,120,76,Dog,33,65,iOS,Computer,0,TRUE,60,Math,TRUE,36
