abv,ibu,id,name,style,brewery_id,ounces
5.6,4,1350,Summer Solstice,Cream Ale,171,12
5.6,4,753,Summer Solstice Cerveza Crema (2009),Cream Ale,171,12
5.6,4,77,Summer Solstice (2011),Cream Ale,171,12
4,5,1312,Westbrook Gose,Gose,384,12
4.4,5,2370,18th Anniversary Gose,Gose,128,12
3.4,6,1417,Weiss Trash Culture,Berliner Weissbier,410,12
6.9,6,523,Winter Solstice,Winter Warmer,171,12
3.2,7,2266,Rad,Fruit / Vegetable Beer,46,16
5.1,7,128,O'Fallon Wheach,Fruit / Vegetable Beer,442,12
4,8,574,Blackbeary Wheat,Fruit / Vegetable Beer,268,12
4.1,8,2233,American Lager,American Adjunct Lager,129,12
4.1,8,2232,American Amber,American Amber / Red Lager,129,12
6.5,8,2018,Ale Cider,Fruit / Vegetable Beer,250,16
3.9,9,1941,Monkey Chased the Weasel,Berliner Weissbier,222,16
4.2,9,1585,Four Peaks Peach Ale,Fruit / Vegetable Beer,160,12
4.8,9,1397,Two-One Niner,American Pilsner,218,12
3.7,10,2345,Gansett Light,Light Lager,143,16
4.2,10,2506,Old Pro,Gose,71,12
4.5,10,619,Wachusett Blueberry Ale,Fruit / Vegetable Beer,295,12
4.8,10,1147,EOS Hefeweizen,Hefeweizen,337,12
4.9,10,1927,Beach Blonde,American Blonde Ale,267,16
5,10,1555,Sweet Yamma Jamma Ale,Fruit / Vegetable Beer,277,12
5,10,1241,Cotton Mouth,Witbier,447,12
5,10,2310,PUNK'N,Pumpkin Ale,159,12
5.2,10,1172,Mo's Gose,Gose,461,16
5.5,10,2633,Hotbox Brown,American Brown Ale,13,12
5.6,10,108,White Rascal,Witbier,37,12
5.7,10,1666,King Street Hefeweizen,Hefeweizen,102,12
3.5,11,2545,Passion Fruit Prussia,Berliner Weissbier,60,12
5,11,1477,Oval Beach Blonde Ale,American Blonde Ale,398,16
5.2,11,630,Apollo,American Pale Wheat Ale,46,16
6.1,11,1705,Wick For Brains,Pumpkin Ale,337,12
6.5,11,760,Cold Smoke Scotch Ale (2007),Scotch Ale / Wee Heavy,510,16
6.5,11,85,Cold Smoke Scotch Ale,Scotch Ale / Wee Heavy,510,16
7,11,2587,Vanilla Porter,American Porter,39,16
4,12,2238,Lobo Lito,Light Lager,187,12
4.1,12,2635,Sparkle,American Pale Lager,11,16
4.3,12,872,Dry Dock Hefeweizen,Hefeweizen,496,12
4.4,12,1009,Tallgrass Pub Ale,American Brown Ale,45,16
4.6,12,1150,Woolybugger Wheat,American Pale Wheat Ale,309,12
4.8,12,587,Snowshoe White Ale,Witbier,223,12
4.8,12,369,Festie,Märzen / Oktoberfest,383,12
5,12,2108,Laughing Dog Cream Ale,Cream Ale,218,12
